Provider Code,Provider Name,Provider Type
7070,The State of Queensland as represented by Southern Queensland Institute of TAFE (t/a Southern Queensland Institute of TAFE),VET
7294,The State of Queensland as represented by Sunshine Coast Institute of TAFE (t/a Sunshine Coast Institute of TAFE),VET
7366,The State of Queensland as represented by The Bremer Institute of TAFE (t/a Brisbane North Institute of TAFEE),VET (Retired)
7364,The State of Queensland as represented by The Bremer Institute of TAFE (t/a Metropolitan South Institute of TAFE),VET (Retired)
7362,The State of Queensland as represented by The Bremer Institute of TAFE (t/a The Bremer Institute of TAFE),VET (Retired)
7226,The State of Queensland as represented by Tropical North Queensland Institute of TAFE (t/a Tropical North Queensland Institute of TAFE),VET
7323,The State of Queensland as represented by Wide Bay Institute of TAFE (t/a Wide Bay Institute of TAFE),VET (Retired)
7535,The State of Western Australia as represented by Education and Training International (t/a Education and Training International),VET
1004,The University of Adelaide,HEP (Retired)
3010,The University of Adelaide,Table A HEP
1028,The University of Melbourne,HEP (Retired)
3002,The University of Melbourne,HEP (Retired)
3028,The University of Melbourne,HEP (Retired)
3031,The University of Melbourne,HEP (Retired)
3036,The University of Melbourne,Table A HEP
1040,The University of New England,HEP (Retired)
3011,The University of New England,HEP (Retired)
1043,The University of New South Wales,HEP (Retired)
1037,The University of Newcastle,HEP (Retired)
3044,The University of Notre Dame Australia,Table B HEP & VET
1046,The University of Queensland,HEP (Retired)
3019,The University of Queensland,Table A HEP & VET
3026,The University of Queensland,HEP (Retired)
1049,The University of Sydney,HEP (Retired)
3015,The University of Sydney,HEP (Retired)
3040,The University of Sydney,Table A HEP
1055,The University of Western Australia,Table A HEP
3022,The University of Western Australia,HEP (Retired)
2180,The Victorian College of the Arts,HEP (Retired)
2280,The Western Institute,HEP (Retired)
2287,The Wodonga Institute of Tertiary Education,HEP (Retired)
4375,Think Education Group,Private HEP & VET
4323,Toorak Teachers College,HEP (Retired)
4415,TOP Education Group Pty Ltd,Private HEP
4227,Torrens College of Advanced Education,HEP (Retired)
4449,Torrens University Australia Limited,Table B HEP
4213,Townsville College of Advanced Education,HEP (Retired)
2214,Townsville College of TAFE,HEP (Retired)
4330,Townsville Teachers College,HEP (Retired)
7509,Training and Development Australia Pty Ltd (t/a Training and Development Australia),VET (Retired)
7570,Training and Education Programs Australia Pty Ltd,VET
7122,TVSA Pilot Training,VET
4152,Union Theological College,HEP (Retired)
7291,Unique International College Pty Ltd (t/a Unique International College),VET
4153,United Theological College,HEP (Retired)
7267,Unitingcare Institute of Family Practice Ltd (t/a Institute of Family Practice),VET
7372,Unity College Australia Incorporated (t/a Unity College Australia),VET
4413,University College London (UCL),Table C HEP
2288,University College of the Northern Territory,HEP (Retired)
2241,University of Canberra,Table A HEP
3039,University of New England,Table A HEP
3013,University of New South Wales,Table A HEP
3014,University of Newcastle,Table A HEP
3027,University of South Australia,Table A HEP
2201,University of Southern Queensland,Table A HEP
1052,University of Tasmania,HEP (Retired)
3009,University of Tasmania,HEP (Retired)
3045,University of Tasmania,Table A HEP
3016,University of Technology Sydney,Table A HEP
2123,"University of Technology, Sydney",HEP (Retired)
3043,University of the Sunshine Coast,Table A HEP
1058,University of Wollongong,Table A HEP
4139,University of Wollongong - Institute of Advanced Education,HEP (Retired)
4377,UOW College,Private HEP & VET
2178,Victoria College,HEP (Retired)
3007,Victoria University,Table A HEP & VET
2179,Victorian College of Agriculture and Horticulture,HEP (Retired)
2181,Victorian College of Pharmacy Ltd,HEP (Retired)
7349,Victorian Fitness Academy Pty Ltd (t/a VFA Learning),VET
7478,Virtu Design Institute Pty Limited,VET
7205,Visual Concepts and Design Australia Pty Ltd (t/a Karl von Busse Institute of Design),VET
7221,VIT (Victorian Institute of Technology),Private HEP & VET
4427,Vose College (t/a Vose College of Higher Education),HEP (Retired)
4138,Wagga Agricultural College,HEP (Retired)
4310,Wagga Wagga Teachers College,HEP (Retired)
2182,Warrnambool Institute of Advanced Education,HEP (Retired)
7110,WEA Hunter,VET
7161,Wealth Within Institute Pty Ltd,VET 
7067,West Coast Institute of Training,Private HEP & VET (Retired)
4237,Western Australia School of Mines,HEP (Retired)
4250,Western Australian Secondary Teachers College,HEP (Retired)
3004,Western Sydney University,Table A HEP
4306,Westmead Teachers College,HEP (Retired)
4401,Whitehouse Institute,Private HEP & VET
4394,William Angliss Institute,Private HEP & VET
4305,William Balmain College,HEP (Retired)
7118,Wodonga Institute of TAFE,VET
2276,Wollongong College of TAFE,HEP (Retired)
4120,Wollongong Institute of Education,HEP (Retired)
7032,YourLife Health & Learning Incorporated (t/a RDNS Your Health & Learning),VET
