E306	HE_Provider_name	HE_Provider_type	TableA
7361	MW Training Consultants Pty Ltd as trustee for The Morgan-Williams Family Trust (t/a MW Training Consultants)	VET	0
7362	The State of Queensland as represented by The Bremer Institute of TAFE (t/a The Bremer Institute of TAFE)	VET (Retired)	0
7363	Australian College of Event Management Pty Ltd (t/a Sydney College of Event Management)	VET	0
7364	The State of Queensland as represented by The Bremer Institute of TAFE (t/a Metropolitan South Institute of TAFE)	VET (Retired)	0
7365	Franklyn Scholar (Australia) Pty Ltd (t/a Franklyn Scholar)	VET	0
7366	The State of Queensland as represented by The Bremer Institute of TAFE (t/a Brisbane North Institute of TAFEE)	VET (Retired)	0
7368	The Imperial College of Australia	VET	0
7369	Shafston House College Ltd (t/a Shafston International College)	VET	0
7370	GP Links Wide Bay Ltd (t/a Health Industry Training Queensland)	VET	0
7371	Sydney Theatre Management Pty. Limited (t/a Sydney Theatre School)	VET	0
7372	Unity College Australia Incorporated (t/a Unity College Australia)	VET	0
7373	College of Creative Design and Arts Pty Ltd (t/a College of Creative Design and Arts)	VET (Retired)	0
7377	Churchill Education Pty Ltd as trustee for Decelle Investment Trust (t/a Churchill Education)	VET	0
7378	Shakra Pty Ltd (t/a Katrinas School of Hair & Beauty)	VET	0
7379	IT Futures	VET	0
7380	Kreate Pty Ltd	VET	0
7381	Screenwise Pty. Limited	VET	0
7382	Strategix Training Group Pty Ltd	VET	0
7383	Health Train Education Services Pty Ltd (t/a HealthTrain)	VET (Retired)	0
7384	The Learning Workshop Pty Ltd	VET	0
7386	Metro Screen Limited	VET (Retired)	0
7387	Cinimod Enterprises Pty Ltd (t/a Oxygen College)	VET	0
7390	The Holistic Healing Company Pty Limited (t/a Australian College of Hypnotherapy)	VET	0
7394	Management Consultancy International Pty Limited	VET	0
7395	Smart City Vocational College Pty Ltd	VET	0
7396	Intellitrain Pty Ltd	VET	0
7398	ACT Education Group Pty Ltd (t/a Adelaide College of Technology)	VET	0
7399	The State of Queensland as represented by SkillsTech Australia (t/a SkillsTech Australia)	VET	0
7400	The Quest Group Pty Ltd (t/a Quest Training Solutions)	VET (Retired)	0
7401	Jigsaw Consulting Group Pty Ltd	VET	0
7403	Access Group Training Pty Limited (t/a Access Group Training)	VET	0
7405	Advanced Education Australia Pty Ltd	VET	0
7407	Air Gold Coast Pty Ltd	VET	0
7411	Impel Solutions Pty Ltd as Trustee for the Hall Investment Trust (t/a Train 2 Learn)	VET (Retired)	0
7412	Southern Aviation Pty Ltd (t/a Bunbury Flying School)	VET	0
7417	Airline Academy of Australia Pty Ltd	VET	0
7419	Pilbara Institute	VET (Retired)	0
7420	The State of Queensland as represented by Central Queensland Institute of TAFE (t/a Central Queensland Institute of TAFE)	VET (Retired)	0
7422	Durack Institute of Technology	VET (Retired)	0
7423	Australian College of Commerce & Management Pty Ltd	VET	0
7424	South West Institute of Technology	VET (Retired)	0
7425	Adamattrin Pty Ltd as Trustee for Mesaric Family Trust (t/a Tri Training - Productivity, Performance, Skills)	VET	0
7426	Great Southern Institute of Technology	VET (Retired)	0
7427	Pragmatic Training Pty. Ltd. as The Trustee for Training Trust (t/a Pragmatic Training Courses)	VET	0
7428	The Creche and Kindergarten Association Limited (t/a C&K College of Early Childhood)	VET	0
7429	CMA Training Group Pty Ltd	VET	0
7432	Talbot Group Pty Ltd (t/a Principal Academy of Dance	VET	0
7436	Challenger Institute of Technology	VET (Retired)	0
7437	MVJ Enterprises Pty Ltd (t/a Perth College of Beauty Therapy)	VET	0
7441	Impact Training Centre Ltd (t/a Life Leadership College and Life Impact Training)	VET	0
7442	Kimberley Training Institute	VET (Retired)	0
7443	The Australian Academy of Business	VET	0
7444	Australasian Institute of Ayurvedic Studies Pty Ltd	VET (Retired)	0
7445	CY O'Connor Institute	VET (Retired)	0
7446	NQ Powertrain Pty Ltd	VET	0
7447	Goldfields Institute of Technology	VET (Retired)	0
7449	Anglican Church Property Trust Diocese of Canberra and Goulburn (t/a St Marks National Theological Centre)	VET	0
7456	Career Education Association of Victoria Inc. (t/a CEAV Training)	VET	0
7460	TasTAFE	VET	0
7461	New England College of Technology	VET	0
7463	Cronin Pty Ltd (t/a Gold Coast School of Beauty Therapy)	VET	0
7464	Macquarie Employment Training Service Inc.	VET	0
7465	The Mask Academy Pty Ltd ATF the Mask Academy Trust (t/a Mask Academy Pty Ltd)	VET	0
7469	DLDC Pty Ltd (t/a Davidia Lind Dance Centre)	VET	0
7473	LTT Group Pty Ltd	VET	0
7478	Virtu Design Institute Pty Limited	VET	0
7479	Australian Agricultural College Corporation	VET	0
7485	Just Careers Training Pty Ltd	VET	0
7486	Sport SA	VET	0
7495	International Screen Academy Pty Limited (t/a International Screen Academy)	VET	0
7502	Mint Training Pty Ltd	VET	0
7503	Harvest Education Technical College	VET	0
7504	Australian Careers Institute Pty. Ltd. (t/a Sage Institute of Education)	VET	0
7509	Training and Development Australia Pty Ltd (t/a Training and Development Australia)	VET (Retired)	0
7515	MBTC - Macquarie Business Training Centre	VET	0
7517	Alderdice & Associates	VET	0
7521	Malekhu Investments Pty Ltd	VET	0
7523	Orion Training and Performance Management Pty Ltd	VET	0
7529	Australian Teachers of Dancing Limited	VET (Retired)	0
7532	Australian Vocational Learning Centre Pty Ltd	VET	0
7535	The State of Western Australia as represented by Education and Training International (t/a Education and Training International)	VET	0
7536	Australian Institute of Fitness Pty Ltd	VET	0
7537	International Skills Institute	VET	0
7541	Australasian Beauty Therapy Academy	VET	0
7553	Australian Salesmasters Training Co	VET	0
7563	Sydney Learning	VET (Retired)	0
7565	Ashley Institute of Training	VET	0
7566	Fox Education and Consultancy	VET	0
7568	Australian College of Finance Pty Ltd	VET	0
7570	Training and Education Programs Australia Pty Ltd	VET	0
7579	Open Training Institute Pty Ltd	VET (Retired)	0
7585	Builders Academy Australia	VET	0
7590	Melbourne College of Hair and Beauty	VET	0
7591	Estrada College	VET	0
7600	The Elite Hair & Beauty Academy	VET	0
7620	Diversity Skills Training Pty Ltd	VET	0
7624	Apprentices-Trainees-Employment Limited	VET (Retired)	0
7626	Passmores College	VET	0
7628	AlertForce	VET	0
7631	Canterbury Technical Institute Pty Ltd	VET	0
7636	Lennox Institute Pty Limited	VET	0
7644	Novaskill	VET	0
7646	Australian Skills Group Pty Ltd	VET	0
7648	SCA Hair & Beauty Academy Pty Ltd	VET	0
7661	Kiama Community College Incorporated	VET	0
7663	Innovative Business Training Pty Ltd	VET	0
7683	The Redcliffe Aero Club	VET	0
7685	Australian Institute of Holistic Medicine (AIHM)	VET	0
7697	Gowrie Victoria	VET	0
7701	Aurora Training Institute	VET	0
7725	Aboriginal Centre for the Performing Arts Pty Ltd	VET	0
7729	Global Training Institute Pty Ltd	VET	0
7742	Demi International Beauty Academy	VET	0
7747	Talentmed Pty Ltd	VET	0
7756	Australian College of Fitness and Bodywork Pty Ltd	VET	0
7767	Forsythes Training Pty Limited	VET	0
7819	Atkinson Training and Development Pty Limited	VET	0
7826	Tandem College Pty Ltd	VET	0
8060	North Regional TAFE	VET	0
8071	North Metropolitan TAFE	Private HEP & VET	0
8072	South Regional TAFE	VET	0
8073	Central Regional TAFE	VET	0
